epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1990.69,0.87326,1.17865,1.74683,1.16738,0,0.36989,0.71975,0.4717,0.35348,0.18731,0.15596,0.05624,0.01457,0.92737,12.5264,1.72883,1.26466,0,0.000331551,0.000331551,0.0671765
2,4079.49,0.93116,0.91982,1.45033,1.18497,0,0.4077,0.76465,0.56382,0.46072,0.40661,0.76373,0.56266,0.45506,0.72528,0.6622,1.48442,1.07772,0,0.000658302,0.000658302,0.0341699
3,6157.25,0.87172,0.87353,1.33531,1.15273,0,0.36901,0.71745,0.52258,0.43277,0.36562,0.71654,0.52216,0.40926,0.71882,0.70069,2.06577,1.13079,0,0.000978453,0.000978453,0.00115671
4,8338.89,0.86437,0.88853,1.30097,1.14863,0,0.48407,0.76841,0.56355,0.4617,0.48654,0.77174,0.56725,0.44018,0.71283,0.64441,1.20829,1.09275,0,0.0009703,0.0009703,0.0009703
5,10486.1,0.80558,0.84518,1.21215,1.10744,0,0.54303,0.83089,0.63294,0.55351,0.54303,0.83089,0.631,0.51846,0.57691,0.59802,0.99253,0.97719,0,0.0009604,0.0009604,0.0009604
6,12485.1,0.77603,0.82665,1.15663,1.09762,0,0.51025,0.82985,0.63772,0.55463,0.5179,0.82237,0.63856,0.52317,0.54153,0.56916,0.97012,0.96175,0,0.0009505,0.0009505,0.0009505
7,14407.6,0.73854,0.76095,1.11595,1.07728,0,0.51804,0.83859,0.64589,0.57314,0.50886,0.86355,0.64921,0.54793,0.51246,0.61142,1.00735,0.92953,0,0.0009406,0.0009406,0.0009406
8,16414,0.71966,0.75945,1.09221,1.06818,0,0.54375,0.86413,0.65545,0.58344,0.5447,0.86548,0.65632,0.55765,0.51644,0.54619,0.91286,0.93716,0,0.0009307,0.0009307,0.0009307
9,18439.6,0.70932,0.76061,1.05544,1.07078,0,0.56288,0.82803,0.67207,0.60343,0.56376,0.82767,0.67169,0.56366,0.48876,0.54843,0.86091,0.91741,0,0.0009208,0.0009208,0.0009208
10,20512.2,0.68837,0.75114,1.03439,1.05239,0,0.579,0.83345,0.68615,0.62251,0.58273,0.83522,0.68813,0.58575,0.46967,0.49327,0.86728,0.90869,0,0.0009109,0.0009109,0.0009109
11,22612.8,0.67959,0.73024,1.01268,1.04552,0,0.54782,0.86831,0.69223,0.6263,0.55117,0.87029,0.69308,0.58444,0.47136,0.4912,0.86134,0.91072,0,0.000901,0.000901,0.000901
12,24658.8,0.66361,0.75251,0.9975,1.03706,0,0.62895,0.77779,0.70205,0.63799,0.56674,0.82811,0.70096,0.59093,0.47128,0.50927,0.86285,0.90849,0,0.0008911,0.0008911,0.0008911
13,26665.6,0.6574,0.71664,0.9839,1.03668,0,0.59483,0.84378,0.70579,0.63829,0.59641,0.84477,0.70877,0.59175,0.46098,0.47563,0.80587,0.89952,0,0.0008812,0.0008812,0.0008812
14,28820.1,0.64598,0.69917,0.96752,1.02863,0,0.65336,0.82051,0.73736,0.66921,0.65336,0.82051,0.73707,0.62568,0.44848,0.49299,0.80704,0.90284,0,0.0008713,0.0008713,0.0008713
15,30830.4,0.64624,0.71229,0.96562,1.03061,0,0.61538,0.8604,0.7292,0.6577,0.61825,0.86274,0.73128,0.60771,0.45922,0.46633,0.78329,0.89037,0,0.0008614,0.0008614,0.0008614
16,32914,0.63689,0.68571,0.94587,1.02076,0,0.6411,0.84011,0.72831,0.66092,0.64345,0.84097,0.72845,0.60977,0.4387,0.46624,0.77684,0.88587,0,0.0008515,0.0008515,0.0008515
17,34840.5,0.62898,0.69774,0.93217,1.01838,0,0.6566,0.83135,0.73409,0.66785,0.65813,0.83096,0.73415,0.62023,0.44339,0.47078,0.72712,0.88708,0,0.0008416,0.0008416,0.0008416
18,36832.4,0.61316,0.6842,0.91529,1.01277,0,0.65257,0.81905,0.73208,0.67045,0.65257,0.81905,0.73305,0.62207,0.4227,0.44856,0.74756,0.8816,0,0.0008317,0.0008317,0.0008317
19,38839.8,0.61455,0.68306,0.91458,1.01089,0,0.65878,0.80157,0.74566,0.68039,0.66042,0.80256,0.7469,0.63218,0.42464,0.46758,0.76669,0.87443,0,0.0008218,0.0008218,0.0008218
20,40769.2,0.61159,0.68669,0.91034,1.01058,0,0.65826,0.82322,0.74165,0.67462,0.65586,0.82223,0.74103,0.62761,0.43374,0.46449,0.73622,0.87272,0,0.0008119,0.0008119,0.0008119
21,42722.1,0.60897,0.67689,0.89395,1.00855,0,0.66156,0.86069,0.75532,0.69352,0.65616,0.86214,0.75523,0.6491,0.39485,0.44023,0.71598,0.86529,0,0.000802,0.000802,0.000802
22,44778.1,0.60854,0.66804,0.88908,1.0083,0,0.68512,0.83911,0.75168,0.69401,0.68931,0.841,0.75377,0.64628,0.39868,0.43871,0.70372,0.87202,0,0.0007921,0.0007921,0.0007921
23,46765.8,0.59536,0.65886,0.88046,1.00295,0,0.67699,0.86194,0.77237,0.71393,0.67995,0.86293,0.77187,0.65639,0.40112,0.4438,0.67592,0.8718,0,0.0007822,0.0007822,0.0007822
24,48701.6,0.59567,0.66383,0.87269,1.00037,0,0.63457,0.87336,0.76297,0.70739,0.63687,0.8757,0.76322,0.65267,0.38481,0.44977,0.69889,0.86496,0,0.0007723,0.0007723,0.0007723
25,50666.5,0.59556,0.65599,0.86892,1.00024,0,0.67906,0.84504,0.76473,0.70455,0.67777,0.84395,0.7624,0.65075,0.39322,0.43177,0.70961,0.86296,0,0.0007624,0.0007624,0.0007624
26,52680.4,0.57871,0.65571,0.84097,0.9911,0,0.67897,0.8533,0.76951,0.70898,0.67897,0.8533,0.76895,0.64938,0.41056,0.4509,0.67367,0.85484,0,0.0007525,0.0007525,0.0007525
27,54722.7,0.5874,0.66088,0.85234,0.99492,0,0.65226,0.88542,0.7709,0.71414,0.65447,0.8874,0.77116,0.65981,0.39348,0.42441,0.67981,0.86725,0,0.0007426,0.0007426,0.0007426
28,56610.3,0.57001,0.63203,0.84097,0.98357,0,0.65705,0.84818,0.75358,0.69859,0.65652,0.84966,0.75303,0.64442,0.37674,0.43759,0.72376,0.85185,0,0.0007327,0.0007327,0.0007327
29,58498.4,0.56935,0.64133,0.8348,0.98532,0,0.6894,0.84549,0.77357,0.71747,0.69121,0.84667,0.77434,0.65864,0.40225,0.47326,0.6885,0.86607,0,0.0007228,0.0007228,0.0007228
30,60419.7,0.57335,0.6587,0.82508,0.98756,0,0.69284,0.84112,0.78495,0.72888,0.69176,0.84148,0.78286,0.67069,0.37576,0.43801,0.66334,0.85878,0,0.0007129,0.0007129,0.0007129
31,2807.3,0.56231,0.62613,0.81759,0.98506,0,0.70566,0.83472,0.79928,0.74169,0.70502,0.83618,0.79708,0.68237,0.38221,0.43328,0.63539,0.84791,0,0.000703,0.000703,0.000703
32,4490.03,0.56466,0.62609,0.81311,0.9836,0,0.68303,0.85967,0.80705,0.74902,0.68355,0.85946,0.80556,0.69279,0.38296,0.43631,0.65541,0.86026,0,0.0006931,0.0006931,0.0006931
33,6108.03,0.55716,0.61693,0.80398,0.97937,0,0.70684,0.85663,0.8102,0.75793,0.70909,0.85762,0.80911,0.70129,0.36412,0.42436,0.63219,0.86472,0,0.0006832,0.0006832,0.0006832
34,7807.48,0.55566,0.63511,0.79697,0.97911,0,0.70136,0.86402,0.81294,0.75562,0.69938,0.86337,0.81061,0.69614,0.36713,0.443,0.6352,0.86103,0,0.0006733,0.0006733,0.0006733
35,9466.14,0.55324,0.63455,0.79058,0.97568,0,0.68736,0.84304,0.80989,0.75602,0.69487,0.84176,0.80987,0.69818,0.37119,0.42142,0.6719,0.85592,0,0.0006634,0.0006634,0.0006634
